Mack/Bortfeldt(2008)
Bin-Packing-Problem
BP-RG/SBSBPP/SSSCSP
Testcase-ID	10
Problem-ID	2
no_item_types	30
no_items	1521
CONTAINER_DATA (l,w,h)	432	79	1
ITEMS_DATA:
Type	x	y	z	no_items
1	52	40	1	52
2	44	44	1	55
3	46	36	1	54
4	38	33	1	60
5	37	33	1	45
6	40	29	1	62
7	34	34	1	62
8	37	31	1	62
9	40	28	1	46
10	35	32	1	47
11	39	27	1	60
12	48	20	1	47
13	41	23	1	44
14	50	18	1	39
15	34	24	1	39
16	35	21	1	51
17	31	23	1	48
18	32	21	1	53
19	54	12	1	60
20	56	11	1	50
21	39	15	1	60
22	30	18	1	35
23	26	18	1	57
24	21	20	1	47
25	35	12	1	44
26	24	17	1	52
27	27	15	1	49
28	20	20	1	51
29	22	13	1	55
30	18	10	1	35
